cap-diameter,cap-shape,cap-color,does-bruise-or-bleed,gill-color,stem-height,stem-width,stem-color,has-ring,habitat,season
1.58,c,n,FALSE,w,4.87,1.47,g,FALSE,d,u
7.86,f,y,FALSE,f,6.99,17.86,y,FALSE,d,u
1.38,x,y,FALSE,w,5.16,1.53,y,FALSE,d,u
2.52,b,n,FALSE,n,6.12,2.83,w,FALSE,d,u
3.97,x,w,FALSE,w,4.42,7.21,w,FALSE,g,a
7.71,x,y,TRUE,y,7.37,15.09,y,FALSE,d,u
3.25,x,w,FALSE,w,2.57,6.67,w,FALSE,g,u
4.87,c,y,TRUE,p,4.64,11.05,w,FALSE,g,s
6.86,x,b,FALSE,w,6.87,8.99,n,FALSE,l,w
10.11,s,n,FALSE,g,8.26,22.36,u,FALSE,g,a
7.9,x,n,FALSE,y,6.63,12.82,n,FALSE,d,u
5.56,x,n,FALSE,w,6.37,10.06,n,FALSE,d,u
2,c,n,FALSE,y,6.82,3.24,y,FALSE,g,u
16.67,p,n,TRUE,g,11.35,18.46,w,TRUE,m,a
4.62,x,n,FALSE,u,6.09,3.87,w,FALSE,d,a
10.48,x,n,TRUE,p,8.95,16.62,w,TRUE,l,a
9.47,x,n,FALSE,w,7.02,10.21,n,FALSE,d,w
3.38,x,w,FALSE,w,3.25,5.28,w,FALSE,m,a
3.69,x,y,FALSE,y,3.17,8.32,w,FALSE,d,a
6.44,x,y,TRUE,y,7.1,13.96,y,FALSE,d,u
4.67,b,k,FALSE,g,3.67,8.71,g,FALSE,d,u
2.77,b,n,FALSE,w,3.62,2.81,y,FALSE,g,a
3.1,x,n,FALSE,n,4.02,9.35,y,FALSE,d,a
3.34,b,n,FALSE,w,4.96,3.3,y,FALSE,g,u
1.88,x,u,FALSE,w,6.17,4.32,w,FALSE,d,u
1.66,x,y,FALSE,n,1.6,2.34,n,FALSE,d,a
12.99,s,w,TRUE,y,5.96,26.01,w,FALSE,d,u
3.96,o,y,FALSE,f,0,0,f,TRUE,d,w
6.55,f,n,FALSE,y,7.91,11.82,n,FALSE,d,a
3.52,f,n,TRUE,p,5.03,7.07,n,FALSE,d,a
3.27,b,w,FALSE,w,4.78,3.36,y,FALSE,g,a
7.25,x,e,TRUE,y,5.42,12.45,e,FALSE,d,a
3.83,x,n,FALSE,n,4.28,9.37,y,FALSE,d,a
1.07,x,n,TRUE,p,5.72,1.07,n,FALSE,d,a
5.61,x,n,TRUE,n,8.25,8.82,e,FALSE,d,a
6.66,s,w,FALSE,w,3.44,9.48,w,FALSE,g,u
10.33,s,n,FALSE,k,5.4,17.96,w,FALSE,d,w
5.08,x,n,FALSE,p,3.81,12.23,w,TRUE,w,u
11.79,s,w,TRUE,p,6.36,27.28,w,FALSE,d,u
3.15,s,u,FALSE,w,4.04,6.76,y,FALSE,d,a
7.21,s,n,TRUE,g,4.31,11.43,g,FALSE,d,u
7.74,x,n,TRUE,n,8.39,18.02,n,TRUE,d,u
9.5,x,n,FALSE,y,7.93,13.2,n,FALSE,g,u
9.1,f,u,FALSE,w,4.12,15.11,w,FALSE,d,u
6.8,x,e,TRUE,y,6.46,13.18,e,FALSE,d,a
5.09,x,n,FALSE,p,6.37,9.93,n,FALSE,d,u
11.44,x,y,FALSE,w,7.31,20.98,w,FALSE,d,a
7.01,x,n,TRUE,g,9.91,23.78,w,FALSE,d,a
9.7,x,n,TRUE,p,8.77,17.16,w,TRUE,l,a
6.29,f,n,FALSE,w,6.09,10.51,n,FALSE,g,u
4.42,x,r,FALSE,r,6.11,7.76,l,FALSE,l,a
2.67,f,y,FALSE,r,5.08,5.1,y,FALSE,g,u
7,x,y,TRUE,r,5.5,12.89,e,FALSE,d,a
1.52,c,n,FALSE,w,4.89,1.46,g,FALSE,d,a
5.84,x,n,FALSE,y,4.66,6.85,w,FALSE,d,u
5.87,x,w,FALSE,w,6.54,13.43,w,TRUE,d,a
8.75,s,o,TRUE,o,6.36,17.7,w,FALSE,d,a
1.45,x,n,FALSE,w,6.08,2.04,y,FALSE,h,a
4.57,x,n,FALSE,u,6.1,3.72,w,FALSE,d,a
1.23,c,n,FALSE,g,5.06,1.64,g,FALSE,d,u
6.46,f,b,FALSE,w,7.91,11.93,n,FALSE,l,w
10.63,f,b,FALSE,b,5.04,21.3,w,TRUE,d,a
8.21,x,g,FALSE,w,7.05,13.37,w,FALSE,d,a
10.49,x,y,TRUE,o,7.74,26.36,u,FALSE,d,a
10.68,f,b,FALSE,b,5.57,23.78,w,TRUE,d,a
3.69,b,w,FALSE,w,4.56,2.46,y,FALSE,g,u
5.44,s,o,TRUE,o,4.73,16.52,w,FALSE,d,u
6.19,x,y,TRUE,y,6.52,14.58,y,FALSE,d,a
15.15,x,g,FALSE,w,8.41,24.93,w,FALSE,l,a
8.14,o,n,FALSE,w,5.1,24.33,n,FALSE,d,u
4.32,x,y,FALSE,y,3.63,8.82,w,FALSE,d,u
9.14,x,n,FALSE,w,7.16,10.54,w,FALSE,d,a
6.56,x,g,FALSE,n,6.21,4.95,w,TRUE,d,w
5.38,f,n,FALSE,w,7.06,9.38,n,FALSE,l,a
0.92,f,e,TRUE,p,5.53,1.01,n,FALSE,h,a
5.67,x,n,FALSE,n,6.06,4.8,w,TRUE,d,u
2.08,b,g,FALSE,g,4.81,1.94,n,FALSE,d,a
14.25,x,n,FALSE,w,13.66,65.7,n,FALSE,d,u
8.26,x,l,FALSE,w,8.05,21.59,w,FALSE,d,u
5.01,f,b,FALSE,w,6.03,9.34,n,FALSE,l,a
8.4,x,n,TRUE,w,8.66,13.02,w,TRUE,d,u
7.69,f,u,FALSE,w,4.37,15.04,w,FALSE,d,a
7.53,x,n,FALSE,w,6.07,11.21,n,FALSE,d,a
7.88,x,n,FALSE,w,8.47,14.78,w,FALSE,g,a
3.75,x,r,FALSE,n,5.66,6.05,w,TRUE,d,a
3.42,x,w,FALSE,r,6.11,6.95,l,FALSE,l,a
6.52,o,n,FALSE,f,5.34,34.53,n,FALSE,d,u
5.99,b,k,FALSE,g,4.84,9.82,g,FALSE,d,u
14.74,p,w,TRUE,g,13.22,19.11,w,TRUE,m,a
8.16,x,n,FALSE,w,5.87,9.43,n,FALSE,d,w
9,x,n,TRUE,y,8.08,18.78,y,FALSE,d,a
4.68,o,r,FALSE,f,0,0,f,TRUE,d,a
1.06,x,e,TRUE,w,5.44,0.96,n,FALSE,d,a
6.48,x,n,FALSE,n,4.32,12.48,w,TRUE,w,a
7.74,f,w,FALSE,n,5.31,13.24,w,TRUE,m,a
4.21,f,y,FALSE,w,6.61,4.08,w,FALSE,d,u
6.73,x,y,FALSE,y,5.93,12.95,y,FALSE,d,a
8.09,p,g,FALSE,w,7.19,12.6,w,FALSE,g,u
7.54,x,e,FALSE,w,5.91,17.42,w,FALSE,d,a
4.05,s,n,FALSE,f,7.09,7.87,y,FALSE,d,a
15.04,f,g,FALSE,w,8.7,22.86,w,FALSE,d,w
2.54,x,n,FALSE,n,5.24,6.05,w,FALSE,d,a
2.25,x,e,FALSE,p,6.05,2.55,n,FALSE,d,a
16.17,s,w,TRUE,w,6.84,31.59,w,FALSE,d,a
11.23,p,n,TRUE,g,9.18,17.66,w,TRUE,m,a
2.35,s,u,FALSE,u,5.78,5.15,u,FALSE,l,u
3.94,x,n,FALSE,o,6.14,7.18,o,FALSE,d,a
11.41,x,l,FALSE,w,7.83,24.04,w,FALSE,d,u
11.51,x,n,FALSE,w,7.45,25.32,n,TRUE,d,w
3.11,s,y,FALSE,f,6.03,6.94,y,FALSE,d,a
7.63,x,n,FALSE,w,6.73,15.22,n,TRUE,d,a
3.96,b,n,FALSE,w,4.81,3.42,y,FALSE,g,u
9.66,f,w,FALSE,w,6.47,33.51,w,FALSE,d,s
6.44,x,n,FALSE,w,7.26,9.93,n,FALSE,l,a
10.19,x,w,FALSE,w,7.31,27.78,w,FALSE,m,s
5.33,x,n,FALSE,g,4.05,6.94,w,FALSE,d,u
4.75,x,n,FALSE,w,5.5,5.63,n,TRUE,d,w
3.33,b,w,FALSE,w,3.92,2.79,y,FALSE,g,a
4.4,b,r,FALSE,u,5.55,6.31,w,TRUE,d,u
17.21,s,n,FALSE,y,6.52,22.24,w,FALSE,d,w
3.99,x,w,FALSE,p,7.8,4.14,p,FALSE,d,u
9.32,s,o,TRUE,o,5.58,13.03,w,TRUE,d,u
5.47,x,n,FALSE,w,12.75,12.59,n,FALSE,d,u
12.04,x,n,FALSE,p,5.94,16.94,n,FALSE,d,u
6.7,x,b,FALSE,b,6.02,12.88,w,FALSE,d,a
1.62,f,g,FALSE,g,5.48,2.72,w,FALSE,g,s
2.03,f,n,FALSE,p,4.87,3.08,n,FALSE,h,u
3.55,x,n,FALSE,y,5.27,10.76,y,FALSE,d,a
6.78,x,n,FALSE,w,7.68,23.73,n,TRUE,d,w
3.01,x,e,FALSE,e,4.3,5.06,e,FALSE,d,a
6.31,f,b,FALSE,w,5.7,8.51,n,FALSE,l,a
5.68,f,n,FALSE,w,5.94,10.17,w,FALSE,d,u
6.42,x,n,TRUE,y,7.34,13.36,y,FALSE,d,a
9.92,x,y,FALSE,w,8.04,20.47,w,FALSE,d,u
7.93,f,n,FALSE,y,9.14,12.6,n,FALSE,d,a
10.56,x,k,FALSE,w,4.77,16.38,w,FALSE,d,u
1.25,b,g,FALSE,g,3.14,1.69,w,FALSE,d,u
9.54,s,w,TRUE,o,5.37,17.19,w,FALSE,d,u
1.61,c,n,FALSE,w,5.28,1.4,g,FALSE,d,u
7.8,f,o,FALSE,n,9.08,12.86,o,FALSE,d,a
14.46,f,n,FALSE,k,6.82,19.05,w,FALSE,d,u
20.6,f,w,TRUE,w,7.79,35.95,w,FALSE,d,u
2.78,x,o,FALSE,y,2.95,4.74,o,FALSE,h,a
1.8,c,n,FALSE,w,5.64,1.74,g,FALSE,l,a
3.6,s,n,FALSE,f,6.33,8.12,y,FALSE,d,a
6.31,x,y,FALSE,n,8.61,8.87,n,TRUE,d,a
18.6,x,n,FALSE,n,15.05,33.86,w,FALSE,d,u
8,f,n,FALSE,y,9.29,12.08,n,FALSE,d,a
4.21,b,n,FALSE,g,5.49,3.35,n,FALSE,d,u
7.98,p,w,FALSE,p,5.1,12.66,w,TRUE,m,u
3.57,x,n,FALSE,n,3.96,9.22,n,FALSE,d,a
10.6,f,n,TRUE,g,9.27,16.76,w,TRUE,m,u
28.33,p,n,FALSE,w,22.26,78.38,n,FALSE,d,u
4.13,x,n,FALSE,o,6.31,7.52,w,FALSE,d,w
9.73,f,l,FALSE,b,6.58,18.64,b,FALSE,d,a
3.82,x,n,FALSE,y,4.57,10.88,y,FALSE,d,a
2.88,b,n,FALSE,n,6.93,2.89,w,FALSE,d,a
7.12,x,g,FALSE,n,6.67,5.83,g,TRUE,d,a
9.35,x,n,FALSE,y,7.4,13.3,n,FALSE,h,u
5.43,f,k,FALSE,w,3.61,9.61,g,FALSE,d,a
21.08,p,w,FALSE,w,23.44,21.8,n,TRUE,m,a
7.34,s,n,FALSE,w,5.23,8,w,FALSE,d,u
7.55,f,u,FALSE,w,4.59,14.51,w,FALSE,d,u
7.51,x,k,FALSE,w,3.7,13.47,w,FALSE,d,a
17.17,p,e,FALSE,n,13.33,32.63,w,FALSE,d,a
10.36,x,l,FALSE,w,7.5,18.79,w,FALSE,d,u
11.14,s,w,TRUE,p,5.79,25.83,w,FALSE,d,a
3.21,f,n,TRUE,n,3.89,5.99,n,FALSE,d,a
3.69,x,n,FALSE,k,5.71,6.34,w,FALSE,d,u
4.91,x,y,TRUE,y,5.53,11.85,w,FALSE,d,u
7.83,x,n,FALSE,y,6.96,11.78,n,FALSE,h,u
5.58,x,e,FALSE,k,6.46,7.5,o,FALSE,g,a
7.76,x,n,TRUE,y,8.47,15.97,y,FALSE,d,u
19.98,x,o,FALSE,y,5.19,27.8,n,FALSE,d,a
1.34,x,y,FALSE,w,5.69,1.94,y,FALSE,d,a
51.49,o,y,FALSE,y,6.98,44.08,n,FALSE,d,s
12.7,p,w,TRUE,n,11.24,18.32,w,TRUE,m,u
6.07,x,g,FALSE,n,6.94,5.34,g,TRUE,d,u
8.39,f,n,FALSE,n,9.77,13.2,n,FALSE,d,a
2.92,s,y,FALSE,f,6.22,7.6,y,FALSE,d,a
6.78,f,y,FALSE,w,5.1,23.47,n,TRUE,d,w
6.82,x,n,FALSE,n,5.86,4.96,g,TRUE,d,u
9.48,s,w,TRUE,o,5.68,17.12,w,FALSE,d,a
11.51,f,g,FALSE,y,2.45,14.76,w,FALSE,d,w
4.04,x,n,FALSE,n,7.33,7.93,n,TRUE,g,u
6.03,f,b,FALSE,w,7.89,10.94,n,FALSE,l,w
4.99,f,w,FALSE,p,3.76,10.77,w,TRUE,g,a
7.53,x,g,FALSE,w,9.05,12.89,g,FALSE,g,a
6.25,x,r,TRUE,r,6.74,17.59,n,FALSE,d,a
5.72,x,n,FALSE,p,5.29,10.51,n,FALSE,d,u
12.81,f,n,TRUE,g,8.35,17.45,w,TRUE,m,a
14.82,x,n,TRUE,y,9.41,29.13,y,FALSE,d,a
4.08,f,n,FALSE,y,4.46,7.55,w,FALSE,d,a
4.86,f,w,FALSE,g,6.55,4.27,w,FALSE,d,u
3.44,s,n,FALSE,f,6.58,7.88,y,FALSE,d,a
4.06,x,n,FALSE,n,6.38,7.33,w,FALSE,d,a
7.78,p,n,FALSE,w,7.81,14.95,w,TRUE,d,a
6.99,x,w,TRUE,p,7.59,13.07,w,TRUE,g,u
4.4,f,g,FALSE,g,5.63,4.14,n,FALSE,d,u
4.16,x,y,FALSE,r,10.22,7.51,y,TRUE,d,w
2.54,f,n,FALSE,k,6.53,6.85,w,FALSE,d,u
6.36,f,n,FALSE,n,4.31,12.61,w,TRUE,w,a
14.4,x,n,TRUE,w,9.06,16.78,w,TRUE,g,a
6.73,x,n,FALSE,n,7,5.33,w,TRUE,d,u
8.93,o,r,FALSE,y,1.67,17.25,y,FALSE,d,a
18.87,x,k,FALSE,y,6.91,23.86,w,FALSE,d,a
6.71,x,n,FALSE,w,5.37,9.76,n,FALSE,d,u
4.54,o,n,FALSE,f,6.22,36.11,n,FALSE,d,a
14.84,s,n,FALSE,y,7.44,21.58,w,FALSE,d,w
8.64,x,n,TRUE,y,7.66,21.57,n,FALSE,d,u
7.72,x,g,FALSE,w,7.27,14.05,g,FALSE,d,a
6.49,f,n,FALSE,p,3.63,11.26,w,TRUE,w,a
13.74,x,k,TRUE,b,4.94,25.79,n,FALSE,d,a
6.83,x,n,TRUE,g,12.33,25.43,w,FALSE,d,u
12.6,f,w,FALSE,w,2.38,14.01,w,FALSE,d,w
9.22,f,b,FALSE,b,4.59,18.53,w,TRUE,d,a
9.21,s,g,FALSE,u,7.96,22.25,b,FALSE,l,w
1.16,x,n,FALSE,k,5.05,2.4,w,FALSE,d,s
4.72,s,n,FALSE,w,2.9,6.71,w,FALSE,h,u
8.69,f,n,FALSE,w,8.03,22.16,w,FALSE,d,a
3.31,x,w,FALSE,p,6.89,3.56,n,FALSE,l,u
10.65,x,n,FALSE,w,9.29,17.14,n,TRUE,d,w
2.51,f,n,FALSE,p,7.09,3.94,n,FALSE,h,u
9.44,f,b,FALSE,b,4.03,18.22,w,TRUE,d,a
4.03,x,y,TRUE,y,6.72,13.51,y,FALSE,d,a
11.69,x,n,TRUE,w,12.35,18.37,w,TRUE,d,a
7.96,x,y,FALSE,y,7.78,15.85,y,TRUE,d,u
10.1,s,l,FALSE,b,7.59,22.27,u,FALSE,d,a
8.7,f,o,FALSE,y,8.68,12.95,n,FALSE,d,a
3.97,x,y,FALSE,y,3.84,9.29,w,FALSE,d,a
5.92,s,n,FALSE,f,7.69,58.22,n,FALSE,l,w
3.15,b,n,FALSE,k,6.05,3.38,w,FALSE,d,s
1.42,x,g,FALSE,k,5.08,2.45,w,FALSE,g,w
3.81,o,n,FALSE,f,5.2,21.18,n,FALSE,d,u
6.62,x,n,FALSE,w,5.57,9.69,n,FALSE,d,a
10.59,x,k,FALSE,w,5.24,16.69,w,FALSE,d,a
5.26,f,y,FALSE,y,6.36,13.73,e,FALSE,d,a
9.12,s,y,FALSE,f,6.22,14.5,y,FALSE,d,u
5.38,x,w,FALSE,w,6.03,12.14,w,TRUE,d,u
5.61,x,n,FALSE,n,6.75,12.7,e,FALSE,d,a
9.5,p,n,TRUE,p,8.65,17.17,w,TRUE,l,a
11.32,f,n,TRUE,g,8.43,17.08,w,TRUE,m,u
1.6,p,n,FALSE,g,6.84,2.49,y,TRUE,m,a
0.69,x,o,FALSE,y,3.29,0.71,w,FALSE,d,u
8.23,x,n,TRUE,g,11.5,24.11,w,FALSE,d,a
10.43,s,r,FALSE,n,7.76,25.76,n,FALSE,d,a
6.7,x,n,FALSE,w,6.23,10.37,n,FALSE,d,a
4.48,x,l,FALSE,r,5.65,7.71,w,FALSE,d,u
3.35,f,g,FALSE,g,4.99,3.11,n,FALSE,d,s
10.61,x,n,TRUE,n,8.79,19.11,n,TRUE,d,u
3.67,f,g,TRUE,p,4.7,6.14,n,FALSE,d,u
2.73,s,n,FALSE,p,5.53,3.38,n,FALSE,l,u
6.97,s,o,TRUE,o,5.54,17.39,w,FALSE,d,u
3.6,s,n,FALSE,f,6.11,7.52,y,FALSE,d,a
13.05,x,n,TRUE,y,10.24,23.35,n,FALSE,d,a
9.95,f,g,FALSE,w,2.59,15.41,w,FALSE,d,w
3.34,f,n,FALSE,p,8.76,4.05,n,FALSE,d,a
7.92,x,n,TRUE,n,8.32,18.12,n,TRUE,d,a
8.31,f,w,FALSE,w,6.54,29.8,w,FALSE,d,s
8.43,x,n,TRUE,n,8.39,18.58,n,TRUE,d,a
4.22,x,o,FALSE,n,6.1,12.28,e,FALSE,d,a
3.82,x,w,FALSE,w,6.34,4.1,w,FALSE,d,u
3.77,x,e,FALSE,e,4.64,7.14,e,FALSE,m,a
9.34,s,p,TRUE,p,8.94,17.27,p,TRUE,d,a
12.42,x,w,FALSE,k,5.57,17.63,w,FALSE,d,u
13.43,x,n,FALSE,w,13.8,66.18,n,FALSE,d,u
5.82,x,n,FALSE,p,6.12,9.77,n,FALSE,d,u
10.3,f,n,TRUE,w,11.75,13.68,w,TRUE,d,u
9.61,x,y,FALSE,y,7.6,14.96,y,TRUE,d,u
14.58,f,b,FALSE,w,2.56,15.35,w,FALSE,d,w
15.56,x,n,TRUE,w,9.74,17.61,w,TRUE,d,u
3.64,b,w,FALSE,w,4.4,3.21,y,FALSE,g,a
8.42,f,w,FALSE,w,17.13,11.81,w,TRUE,g,s
2.31,f,n,FALSE,p,7.45,3.32,n,FALSE,h,a
4.95,x,n,FALSE,w,6.44,4.09,w,FALSE,d,a
10.19,f,n,TRUE,w,11.96,17.95,w,TRUE,d,a
13.41,s,w,TRUE,p,6.54,26.4,w,FALSE,d,u
4.65,b,n,FALSE,g,7.2,4.24,n,FALSE,d,s
5.55,o,n,FALSE,f,8.59,63,n,FALSE,d,u
11.67,x,n,TRUE,p,9.17,17.97,w,TRUE,d,a
3.45,x,n,FALSE,o,5.83,7.32,w,FALSE,d,a
0.97,x,e,TRUE,p,4.58,0.93,n,FALSE,d,a
6.18,f,w,FALSE,w,6.91,32.15,w,FALSE,m,u
4.68,x,o,FALSE,n,5.46,11.62,e,FALSE,d,u
12.3,s,w,TRUE,o,6.18,17.97,w,FALSE,d,a
8.4,s,n,FALSE,w,3.77,18.83,n,FALSE,d,a
7.02,x,n,FALSE,w,6.57,10.32,n,FALSE,d,a
7.34,x,g,FALSE,n,6.73,5.22,g,TRUE,d,w
11.38,s,r,FALSE,n,7.08,22.89,p,FALSE,d,w
7.45,s,w,FALSE,w,3.43,8.02,w,FALSE,d,a
9.55,x,n,TRUE,w,10.45,15.65,w,TRUE,d,u
6.38,f,n,FALSE,p,4.84,12.23,w,TRUE,w,u
3.05,x,e,FALSE,e,4.21,6.45,e,FALSE,m,a
3.02,b,n,FALSE,k,6.17,2.5,w,FALSE,d,u
5.34,c,n,FALSE,w,10.85,11.28,n,FALSE,d,a
3.88,s,n,FALSE,f,6.56,7.47,y,FALSE,d,a
14.23,x,n,TRUE,w,9.83,17.8,w,TRUE,g,u
9.29,x,n,FALSE,n,9.96,15.27,n,FALSE,d,a
2.81,x,u,FALSE,w,5.5,4.28,w,FALSE,d,w
0.99,b,w,FALSE,g,3.19,1.53,w,FALSE,d,w
9.91,s,p,TRUE,o,5.13,17.36,w,FALSE,d,a
0.84,b,y,FALSE,g,2.86,2.28,n,TRUE,m,a
5,x,n,TRUE,y,6.41,13.49,y,FALSE,d,u
9.91,x,l,FALSE,w,8.03,26.3,w,FALSE,d,a
7.87,s,n,FALSE,w,4.38,21.8,n,FALSE,d,u
4.68,x,n,FALSE,y,4.23,7.79,w,FALSE,d,a
9.71,p,n,FALSE,p,11.64,31.59,n,FALSE,d,u
7.62,f,g,FALSE,y,2.36,13.06,w,FALSE,d,a
8.18,x,y,FALSE,o,11.36,20.67,y,TRUE,d,u
19.51,f,w,FALSE,k,7.48,23.26,w,FALSE,d,a
0.74,p,w,FALSE,g,3.22,1.49,w,FALSE,d,w
9.42,x,e,TRUE,y,7.09,13.88,e,FALSE,d,a
10.69,x,y,FALSE,y,7.56,15,y,TRUE,d,a
3.9,b,n,FALSE,u,6.59,4.44,w,FALSE,d,a
7.21,x,g,TRUE,g,11.83,25.01,w,FALSE,d,a
7.31,x,n,FALSE,w,6.77,11.01,n,FALSE,d,a
9.88,x,n,TRUE,y,8.69,18.04,n,TRUE,d,u
1.48,x,g,FALSE,g,4.56,2.44,w,FALSE,d,a
9.67,x,y,FALSE,w,7.98,20.18,w,FALSE,d,u
3.75,x,y,FALSE,o,4.07,7.88,w,FALSE,d,u
4.29,x,n,FALSE,n,4.43,10.89,e,FALSE,d,a
4.42,o,n,FALSE,f,5.32,40.07,n,FALSE,l,w
3.63,f,n,FALSE,k,6.09,6.02,w,FALSE,d,a
16.36,x,e,FALSE,w,14.92,34.12,w,FALSE,d,a
11.35,p,w,FALSE,k,22.12,13.74,w,TRUE,u,u
3.39,b,g,FALSE,g,5.48,3.62,g,FALSE,d,a
7.43,s,p,TRUE,o,4.8,16.43,w,FALSE,d,a
6.06,x,g,FALSE,n,6.06,4.44,w,TRUE,d,u
5.7,c,n,FALSE,w,12.57,12.96,w,FALSE,d,u
7.94,x,e,FALSE,w,7.13,18.13,w,FALSE,d,a
4.68,x,o,FALSE,n,6.1,11.33,e,FALSE,d,u
3.11,x,y,FALSE,y,3.86,8.39,w,FALSE,d,u
4.1,x,w,FALSE,n,7.72,10.21,n,TRUE,d,u
5.39,x,g,FALSE,n,5.12,3.34,w,TRUE,d,a
22.24,f,n,FALSE,y,8.31,27.1,w,FALSE,d,a
6.84,s,y,FALSE,w,6.09,14.46,g,FALSE,d,a
3.85,f,w,FALSE,p,4.23,3.01,n,FALSE,g,a
7.54,f,o,FALSE,n,9.15,12.55,o,FALSE,d,a
7.94,x,g,TRUE,g,10.32,22.41,w,FALSE,d,u
23.94,p,n,FALSE,w,17.75,75.23,n,FALSE,d,a
6.52,x,n,FALSE,p,4.68,9.91,n,FALSE,d,a
3.55,x,n,FALSE,k,6.79,6.36,w,FALSE,d,u
11.48,s,o,TRUE,o,6.16,18.71,w,FALSE,d,u
8.3,x,n,FALSE,p,6.29,9.08,w,FALSE,d,s
6.58,s,p,TRUE,o,5.32,16.61,w,FALSE,d,u
1.29,x,y,FALSE,w,5.13,1.98,y,FALSE,g,a
4.47,f,n,FALSE,g,6.78,4.68,g,FALSE,d,s
8.23,p,g,FALSE,w,8.44,13.31,g,FALSE,d,a
3.33,b,k,FALSE,n,8.78,2.67,n,FALSE,g,u
5.95,f,n,FALSE,p,4.24,11.79,w,TRUE,w,a
5.97,s,n,FALSE,w,5.18,7.28,w,FALSE,l,u
